time,temperature
2023-01-06 17:20:39,21.7
2023-01-06 17:23:42,22.5
2023-01-06 17:46:36,22.5
2023-01-06 17:46:51,21.5
2023-01-06 18:09:31,22.5
2023-01-06 18:12:42,21.7
2023-01-06 18:32:25,22.5
2023-01-06 18:38:33,21.7
2023-01-06 18:55:20,22.5
2023-01-06 19:04:25,21.7
2023-01-06 19:18:15,22.5
2023-01-06 19:30:18,21.7
2023-01-06 19:41:09,22.5
2023-01-06 19:56:35,21.5
2023-01-06 20:04:04,22.5
2023-01-06 20:22:48,21.5
2023-01-06 20:26:58,22.5
2023-01-06 20:48:42,21.6
2023-01-06 20:49:53,22.5
2023-01-06 20:50:08,22.5
2023-01-06 21:12:48,22.5
2023-01-06 21:14:33,21.7
2023-01-06 21:35:42,22.5
2023-01-06 21:40:21,21.7
2023-01-06 21:58:37,22.4
2023-01-06 22:06:14,21.6
2023-01-06 22:32:21,21.5
2023-01-06 22:36:47,22.4
2023-01-06 22:58:10,21.6
2023-01-06 22:59:42,22.3
2023-01-06 23:22:36,22.3
2023-01-06 23:24:02,21.6
2023-01-06 23:45:31,22.3
2023-01-06 23:49:53,21.5
2023-01-07 00:08:26,22.3
2023-01-07 00:16:09,21.3
2023-01-07 00:31:20,22.3
2023-01-07 00:42:24,21.3
2023-01-07 00:54:17,22.2
2023-01-07 01:08:17,21.5
2023-01-07 01:17:10,22.2
2023-01-07 01:34:34,21.2
2023-01-07 01:40:04,22.2
2023-01-07 02:00:26,21.5
2023-01-07 02:02:59,22.3
2023-01-07 02:25:54,22.3
2023-01-07 02:26:42,21.2
2023-01-07 02:48:49,22.3
2023-01-07 02:52:58,21.2
2023-01-07 03:11:43,22.3
2023-01-07 03:19:12,21.2
2023-01-07 03:34:38,22.3
2023-01-07 03:45:07,21.3
2023-01-07 03:57:32,28.5
2023-01-07 04:10:56,21.5
2023-01-07 04:20:27,22.3
2023-01-07 04:36:51,21.5
2023-01-07 04:43:22,30.3
2023-01-07 05:02:56,21.2
2023-01-07 05:06:16,22.3
2023-01-07 05:28:54,21.3
2023-01-07 05:29:11,22.2
2023-01-07 05:52:06,22.2
2023-01-07 05:54:58,21.1
2023-01-07 06:15:00,22.2
2023-01-07 06:20:50,21.3
2023-01-07 06:37:55,22.2
2023-01-07 06:46:42,21.3
2023-01-07 07:00:49,22.2
2023-01-07 07:12:36,21.3
2023-01-07 07:23:44,22.1
2023-01-07 07:38:27,21.2
2023-01-07 07:46:39,22.1
2023-01-07 08:04:24,21.2
2023-01-07 08:09:34,22.1
2023-01-07 08:30:36,21.0
2023-01-07 08:32:28,22.1
2023-01-07 08:55:23,22.1
2023-01-07 08:56:48,21.0
2023-01-07 09:18:17,22.1
2023-01-07 09:22:41,21.2
2023-01-07 09:41:12,22.2
2023-01-07 09:48:55,21.0
2023-01-07 10:04:07,22.2
2023-01-07 10:14:29,21.2
2023-01-07 10:27:01,22.2
2023-01-07 10:40:23,21.3
2023-01-07 10:49:56,22.2
2023-01-07 11:06:14,21.3
2023-01-07 11:12:51,22.2
2023-01-07 11:32:07,21.3
2023-01-07 11:35:45,22.2
2023-01-07 11:57:59,21.3
2023-01-07 11:58:40,22.2
2023-01-07 12:21:34,22.2
2023-01-07 12:23:51,21.4
2023-01-07 12:44:29,22.2
2023-01-07 12:49:43,21.4
2023-01-07 13:07:24,22.2
2023-01-07 13:15:36,21.3
2023-01-07 13:30:19,22.1
2023-01-07 13:41:30,21.4
2023-01-07 13:53:13,22.2
2023-01-07 14:07:44,21.1
2023-01-07 14:16:08,22.1
2023-01-07 14:33:38,21.3
2023-01-07 14:39:02,22.1
2023-01-07 14:59:31,21.4
2023-01-07 15:01:57,22.1
2023-01-07 15:24:52,22.1
2023-01-07 15:25:23,21.4
2023-01-07 15:47:47,22.1
2023-01-07 15:51:37,21.1